Slot Name,Model Name,Make Name,Slot Currency,Slot Reading Hour,Games Played This Hour,Dollars Player Bet,Dollars Player Lost,Theory Player Lost Amount,Slot Ideal Payback Percentage
Slot 188,CDS Reel Deal 10,CDS,C$,2019-01-03 15:00:00,331,21.95644,7.03340,1.317386400,0.0600
Slot 134,MAV500,Aristocrat,$,2019-03-21 16:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 270,GK20 Slant,IGT,C$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0870
Slot 188,CDS Reel Deal 10,CDS,C$,2019-02-16 16:00:00,77,4.66620,1.21200,0.279972000,0.0600
Slot 188,CDS Reel Deal 10,CDS,C$,2019-03-05 15:00:00,368,23.19240,3.25296,1.391544000,0.0600
Slot 134,MAV500,Aristocrat,$,2019-02-02 21:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 270,GK20 Slant,IGT,C$,2019-02-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0870
Slot 270,GK20 Slant,IGT,C$,2019-03-05 15:00:00,490,368.97000,-484.17900,32.100390000,0.0870
Slot 188,CDS Reel Deal 10,CDS,C$,2019-01-13 15:00:00,389,87.67286,-30.06014,5.260371600,0.0600
Slot 270,GK20 Slant,IGT,C$,2019-02-23 11:00:00,146,24.69450,15.75600,2.148421500,0.0870
Slot 243,GK10 Slant,IGT,C$,2019-01-03 14:00:00,274,16.64640,6.05880,0.665856000,0.0400
Slot 254,Roulette,ZUUM,C$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 243,GK10 Slant,IGT,C$,2019-03-05 15:00:00,421,51.14376,7.65048,2.045750400,0.0400
Slot 254,Roulette,ZUUM,C$,2019-01-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 329,Oxygen Slant NIO C$,Atronic,C$,2019-01-03 14:00:00,519,39.35760,-7.59531,3.148608000,0.0800
Slot 154,EGT - Premier,EGT,$,2019-01-17 00:00:00,199,9.95000,5.00000,0.594015000,0.0597
Slot 229,EGT - Premier,EGT,$,2019-01-23 15:00:00,258,182.50000,54.00000,14.600000000,0.0800
Slot 329,Oxygen Slant NIO C$,Atronic,C$,2019-03-02 08:00:00,31,0.49500,0.08700,0.039600000,0.0800
Slot 254,Roulette,ZUUM,C$,2019-01-17 01:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 243,GK10 Slant,IGT,C$,2019-02-20 03:00:00,407,118.71540,-1.24230,4.748616000,0.0400
Slot 254,Roulette,ZUUM,C$,2019-02-26 23:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 243,GK10 Slant,IGT,C$,2019-01-07 01:00:00,79,4.83480,2.93760,0.193392000,0.0400
Slot 154,EGT - Premier,EGT,$,2019-03-16 02:00:00,0,0.00000,0.00000,0.000000000,0.0597
Slot 154,EGT - Premier,EGT,$,2019-03-19 08:00:00,0,0.00000,0.00000,0.000000000,0.0597
Slot 243,GK10 Slant,IGT,C$,2019-03-16 02:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 229,EGT - Premier,EGT,$,2019-03-12 14:00:00,824,41.25000,-7.60000,3.300000000,0.0800
Slot 329,Oxygen Slant NIO C$,Atronic,C$,2019-01-17 01:00:00,346,16.96103,4.75075,1.356882400,0.0800
Slot 243,GK10 Slant,IGT,C$,2019-03-12 14:00:00,576,34.69824,5.42160,1.387929600,0.0400
Slot 254,Roulette,ZUUM,C$,2019-01-23 15:00:00,47,11.46750,0.82566,0.458700000,0.0400
Slot 254,Roulette,ZUUM,C$,2019-01-03 14:00:00,11,23.21022,5.87136,0.928408800,0.0400
Slot 254,Roulette,ZUUM,C$,2019-03-09 08:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 229,EGT - Premier,EGT,$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 243,GK10 Slant,IGT,C$,2019-01-17 01:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 329,Oxygen Slant NIO C$,Atronic,C$,2019-03-09 09:00:00,835,73.07250,0.40890,5.845800000,0.0800
Slot 229,EGT - Premier,EGT,$,2019-02-26 23:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 229,EGT - Premier,EGT,$,2019-01-17 01:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 329,Oxygen Slant NIO C$,Atronic,C$,2019-02-23 11:00:00,788,47.32950,10.04340,3.786360000,0.0800
Slot 229,EGT - Premier,EGT,$,2019-03-21 16:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 154,EGT - Premier,EGT,$,2019-02-26 23:00:00,655,1287.50000,89.78000,76.863750000,0.0597
Slot 254,Roulette,ZUUM,C$,2019-03-21 16:00:00,0,0.00000,0.00000,0.000000000,0.0400
